Constellation,Type,ID,Remarks,RA,DEC,Mag,Size,Class
UMA,GAL,3675,UGC 6439         ,11 26.1,+43 35,10.2,6.2,Sb         
UMA,GAL,3718,UGC 6524         ,11 32.6,+53 04,10.8,8.2,SBap       
UMA,GAL,3726,UGC 6537         ,11 33.3,+47 02,10.4,6,SBc Ring   
UMA,GAL,3877,UGC 6745         ,11 46.1,+47 30,11,5.3,Sc         
UMA,GAL,3893,UGC 6778         ,11 48.6,+48 43,10.5,4.5,SBc        
UMA,GAL,3896,UGC 6781         ,11 48.9,+48 40,12.9,1.5,SBO-a      
UMA,GAL,3917,UGC 6815         ,11 50.8,+51 49,11.8,5,Sc         
UMA,GAL,3938,UGC 6856         ,11 52.8,+44 07,10.4,5.1,Sc         
UMA,GAL,3945,UGC 6860         ,11 53.2,+60 40,10.9,6.4,SBO-a Ring 
UMA,GAL,3953,UGC 6870         ,11 53.8,+52 19,10.1,6.9,SBbc       
UMA,GAL,3992,M109,11 57.6,+53 22,9.8,7.5,SBbc       
UMA,GAL,4605,FABERGE EGG GALAXY,12 40.0,+61 36,10.9,5.8,SB(s)c pec
UMA,GAL,5457,M101 PINWHEEL GALAXY,14 03.2,+54 21,7.9,28.5,SBc        
VIR,GAL,4216,SILVER STREAK GALAXY,12 15.9,+13 09,10,7.8,SBb        
VIR,GAL,4303,M61 SWELLING SPIRAL,12 21.9,+04 28,9.6,6.5,SBbc Ring  
VIR,GAL,4374,M84,12 25.1,+12 53,9.1,6.7,E1         
VIR,GAL,4406,M86,12 26.2,+12 57,8.9,9.8,E3         
VIR,GAL,4435,"UGC 7575/The ""Eyes"" , COPELAND'S EYES",12 27.7,+13 05,10.8,3,SBO        
VIR,GAL,4438,"UGC 7574/The ""Eyes"" , COPELAND'S EYES    ",12 27.8,+13 00,10.2,8.5,Sa         
VIR,GAL,4472,M49,12 29.8,+08 00,8.4,9.8,E4         
VIR,GAL,4486,M87,12 30.8,+12 23,8.6,8.7,E1p        
VIR,GAL,4517,4437,12 32.8,+00 07,10.4,10.2,Sc         
VIR,GAL,4526,HAIRY EYEBROW GALAXY,12 34.0,+07 42,9.7,7,SBO        
VIR,GAL,4535,UGC 7727/The Lost Galaxy of Copeland    ,12 34.3,+08 12,10,6.9,SBc        
VIR,GAL,4536,UGC 7732         ,12 34.4,+02 11,10.6,7.1,SBbc       
VIR,GAL,4552,M89,12 35.7,+12 33,9.8,5.3,EO         
VIR,GAL,4567,UGC 7777/The Siamese Twins/FISH& CHIPS GALS.      ,12 36.5,+11 15,11.3,3.1,Sbc        
VIR,GAL,4568,UGC 7777/The Siamese Twins/FISH& CHIPS GALS.      ,12 36.6,+11 14,10.8,4.6,Sbc        
VIR,GAL,4569,M90,12 36.8,+13 10,9.5,9.9,SBab       
VIR,GAL,4579,M58,12 37.7,+11 49,9.7,6,SBb        
VIR,GAL,4594,M104 SOMBRERO GALAXY,12 40.0,-11 37,8,8.6,Sab        
VIR,GAL,4621,M59,12 42.0,+11 39,9.6,5.3,E3         
VIR,GAL,4649,M60,12 43.7,+11 33,8.8,7.6,E1         
VIR,GAL,4666,UGC 7926         ,12 45.1,-00 28,10.7,4.5,SBc        
VIR,GAL,4699,VINYL LP GALAXY,12 49.0,-08 40,9.5,3.8,SBb        
VIR,GAL,5054,MCG - 3-34- 39    ,13 17.0,-16 38,10.9,5.1,Sbc        
VIR,GAL,5363,near 5364,13 56.1,+05 15,10.1,4,Ellipt.
VIR,GAL,5364,near 5363,13 56.2,+05 01,11.2,6.7,SA(rs)bc pec
VIR,GC,5634,,14 29.6,-05 59,9.5,5.5,IV
VIR,GAL,5746,"BLADE&PEARL GALAXY, The Mini Sombrero",14 44.9,+01 57,10.3,6.9,SBb        
VIR,GAL,5846,,15 06.5,+01 36,10,4.9,Sba-b
VUL,OC,6802,OCL  114          ,19 30.6,+20 16,8.8,5,III 1 m    
VUL,CL+N,6820,LBN  135   w/6823 cluster       ,19 43.1,+23 17,15,40,E          
VUL,OC,6823,OCL  124          ,19 43.2,+23 18,7.1,7,I 3 p n    
VUL,OC,6830,POODLE CLUSTER,19 51.0,+23 06,7.9,6,II 2 p     
VUL,PN,6853,M27 DUMBBELL NEBULA,19 59.6,+22 43,7.3,8,3(2)       
VUL,OC,6885=6882=Collinder416,OCL  152/20 Vulpeculae Cluster       ,20 12.0,+26 29,8.1,20,III 2 p    
VUL,OC,6940,MOTHRA CLUSTER,20 34.5,+28 17,6.3,25,III 2 m    
