Constellation,Type,ID,Remarks,RA,DEC,Mag,Size,Class
LEO,GAL,3507,UGC 6123         ,11 03.4,+18 08,10.9,3.4,SBb        
LEO,GAL,3521,UGC 6150         ,11 05.8,-00 02,9,11.2,SBbc       
LEO,GAL,3623,M65/The Trio in Leo,11 18.9,+13 05,9.3,9,SBa        
LEO,GAL,3627,M66/The Trio in Leo,11 20.2,+13 00,8.9,9.1,SBb        
LEO,GAL,3628,"KING HAMLET'S GHOST/The Trio in Leo,HOTDOG GAL",11 20.3,+13 35,9.5,13.1,Sb         
LEP,GC,1904,M79,05 24.2,-24 31,7.7,9.6,V          
LEP,PN,IC418,"SPIROGRAPH NEBULA, RASPBERRY NEBULA",05 27.5,-12 42,10.7,0.23,4
LEP,GAL,1964,ESO 554-10        ,05 33.4,-21 57,10.8,5.5,SBb        
LIB,GC,5897,GHOST GLOBULAR,15 17.4,-21 01,8.5,12.6,XI         
LMI,GAL,3003,UGC 5251         ,09 48.6,+33 25,11.9,5.7,SBbc       
LMI,GAL,3344,SLICED ONION GALAXY,10 43.5,+24 55,9.9,7.1,SBbc Ring  
LMI,GAL,3432,THE KNITTING NEEDLE GALAXY,10 52.5,+36 37,11.3,6.6,SB         
LUP,GC,5986,Dunlop 552        ,15 46.1,-37 47,7.6,9.6,VII        
LYN,GC,2419,THE INTERGALACTIC WANDERER         ,07 38.1,+38 53,10.3,4.6,II         
LYN,GAL,2537,Bear Paw Galaxy,08 13.2,+45 59,11.7,3.1,SBp        
LYN,GAL,2683,UFO GALAXY,08 52.7,+33 25,9.8,8.8,Sb         
LYR,PN,6720,M57 RING NEBULA,18 53.6,+33 02,9.4,1.43,4(3)       
LYR,GC,6779,M56,19 16.6,+30 11,8.4,8.8,X          
LYR,OC,6791,OCL  142          ,19 20.9,+37 46,9.5,10,II 3 r     
MON,OC,2225,2226=ctr of cluster,06 26.6,-09 38,14.0p,1.5,II 1 m
MON,OC,2236,OCL  501          ,06 29.7,+06 50,8.5,8,III 2 p    
MON,BN,2237/2238/2239/2246,The Rosette Nebula,06 31.9,+04 57,5.5,80,E          
MON,OC,2244 CLUSTER IN ROS.,cluster in the Rosette,06 32.3,+04 51,4.8,30,II 3 r n:b
MON,OC,2251,OCL  499          ,06 34.6,+08 22,7.3,10,IV 2 p     
MON,OC,2254,OCL  500          ,06 35.8,+07 40,9.1,6,I 2 p      
MON,OC,2259,OCL  492          ,06 38.6,+10 53,10.8,3.5,II 2 p n   
MON,BN,2261,HUBBLE'S VARIABLE NEBULA,06 39.2,+08 45,?,2,E+R        
MON,N+CL,2264,CHRISTMAS TREE CLUSTER/CONE NEBULA,06 41.0,+09 54,4.1,40,III 3 m n:
MON,OC,2269,"OCL  524,Z95,HEAD HUNTER,STARFIGHTER         ",06 43.3,+04 37,10,3,II 2 p     
MON,OC,2286,OCL  548          ,06 47.7,-03 09,7.5,15,IV 3 m     
MON,OC,2301,HAGRID'S DRAGON,06 51.8,+00 28,6,15,I 3 m      
MON,OC,2309,OCL  557          ,06 56.1,-07 10,10.5,5,II 2 m     
MON,BN,2316,2317,06 59.7,-07 47,?,4,R          
MON,OC,2323,M50/Heart-Shaped Cluster,07 02.8,-08 23,5.9,15,II 3 m     
MON,OC,2353,AVERY'S ISLAND,07 14.5,-10 16,7.1,18,II 2 p     
MON,OC,2506,OCL  593          ,08 00.0,-10 46,7.6,12,I 2 r      
OPH,GC,6171,"M107, THE CRUCIFIX CLUSTER",16 32.5,-13 03,7.8,13,X          
OPH,GC,6218,M12,16 47.2,-01 57,6.1,16,IX         
OPH,GC,6254,M10,16 57.1,-04 06,6.6,20,VII        
OPH,GC,6266,M62 FLICKERING GLOBULAR,17 01.2,-30 07,6.4,15,IV         
OPH,GC,6273,M19,17 02.6,-26 16,6.8,17,VIII       
OPH,GC,6284,GCL  53           ,17 04.5,-24 46,8.9,6.2,IX         
OPH,PN,6309,"The Box Nebula, THE SHOEPRINT NEB.,the exclamation mark!",17 14.1,-12 55,11.6,0.33,3b(6)      
OPH,GC,6316,GCL  57           ,17 16.6,-28 08,8.1,5.4,III        
OPH,GC,6333,M9,17 19.2,-18 31,7.8,12,VIII       
OPH,GC,6356,GCL  62           ,17 23.6,-17 49,8.2,10,II         
OPH,PN,6369,LITTLE GHOST NEBULA,17 29.3,-23 46,11,0.5,4(2)       
OPH,GC,6402,M14,17 37.6,-03 15,7.6,11,VIII       
OPH,OC,IC4665,Poseidon'd Trident,17 46.2,+05 43,4.2,70,III 2 m     
OPH,PN,6572,"EMERALD EYE PLANETARY, BLUE RACQUETBALL",18 12.1,+06 51,8,0.25,2a         
OPH,OC,6633,,18 27.2,+06 30,4.6,20,III 2 m
ORI,BN,1973/1975(NEBULA),MERMAID'S PURSE NEBULA/RUNNING MAN NEBULA,05 35.1,-04 44,7,10,E+R        
ORI,OC,1981,COAL CAR CLUSTER-JUST N. OF 1973/5/7,05 35.2,-04 26,4.2,28,III 2 p n  
ORI,N+CL,1976,M42 ORION NEBULA,05 35.3,-05 23,4,47,E+R        
ORI,N+CL,1977(CLUSTER),CLUSTER IN NGC1973/1975,05 35.3,-04 49,7,20,?
ORI,N+CL,1980,The Lost Jewel of Orion=CLUSTER WITH NEBULA       ,05 35.4,-05 55,2.5,15,III 3 m n:
ORI,BN,1982,M43/De Mairan's Nebula,05 35.5,-05 16,9,20,E          
ORI,BN,1999,"13TH PEARL NEBULA, BLACK EYE NEBULA",05 36.5,-06 42,9.2,2,DP
ORI,BN,2024,LIPS NEBULA/FLAME NEBULA/MAPLE LEAF NEB./TANK NEB.,05 41.7,-01 51,?,30,E          
ORI,PN,2022,"KISSING CRESCENTS NEBULA, ORION'S COLLARBONE NEB.",05 42.1,+09 05,11.6,0.45,4+2
ORI,BN,2068,M78 CASPER THE FRIENDLY GHOST,05 46.8,+00 05,8,8,E          
